ID,cluster
20120201121792,2
20070606071557,2
20170504170812,5
20160403160921,6
20181110181046,5
20150807150700,4
20050302050606,6
20100302100547,2
20141212140533,2
20100404101712,5
20130404131311,4
20041010041339,2
20130605130702,1
20180807180915,6
20151211151508,2
20171211171932,3
20070201072230,3
20091009091267,4
20080201082077,2
20080403081541,4
20141110140614,2
20180202182054,3
20170807171387,2
20120403121006,4
20100301101298,3
20120101120932,3
20131111131564,4
20040706040122,1
20070504071451,3
20130403131895,3
20060403062340,2
20130202130975,4
20160604161120,5
20100504101225,2
20080302081056,1
20140606140564,1
20141110142296,2
20170101170002,1
20100112091012,2
20170403171994,6
20130201131811,1
20130808130743,2
20140606141225,2
20051110051344,3
20091211091696,1
20030908032236,6
20150909150194,3
20170909172453,4
20160404162292,4
20081110080631,3
20151210150533,4
20100201102261,3
20050806051164,3
20150908150736,4
20180403181138,3
20130504131826,5
20150112142044,1
20060806060809,6
20051211051359,3
20041211041502,2
20140201141123,2
20120111110012,6
20050302051867,4
20110201112128,2
20061010060048,2
20120808120835,4
20061110061667,1
20141009142012,4
20130605131764,6
20171009171355,1
20180806182346,1
20070303072097,2
20030605032848,3
20160403162220,4
20081212080937,6
20180112170578,2
20110403111758,3
20151009151272,4
20051010051135,3
20110707111025,2
20040112033579,1
20041212040589,2
20050808052302,2
20180807181191,5
20080606080070,2
20160707160889,4
20070909071760,3
20100303101870,2
20170201172244,2
20050908050679,3
20121110120710,6
20170504170591,3
20081110080771,2
20160302162009,2
20031212032135,2
20121211121868,6
20151110151304,4
20040909042412,5
20111009110004,2
20040201041998,4
20121211120817,2
20131211130934,2
20141111140952,3
20131110131502,1
20090808091573,4
20090303090591,1
20130201132010,1
20150112140637,2
20120807122334,1
20090907090662,1
20060706061468,1
20150201151525,2
20120402121687,3
20140402140778,1
20140403141341,2
20070605070931,4
20100503100017,5
20090101091865,4
20090504090532,2
20090706091854,1
20030908033149,5
20160604161168,1
20100807101923,2
20150201150181,2
20141212142476,2
20031111033590,4
20170807171515,6
20131110131669,2
20050402052252,2
20060605061059,2
20150807151861,2
20141009142012,4
20170503171161,2
20120706121123,3
